Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
e7e5164e-14b2-b328-d1cb-48cf4813aa51,2014-05-05,,999-67-1256,,,,Erma609,Lorenza655,Greenholt190,,,,white,nonhispanic,F,Winchester  Massachusetts  US,1001 Okuneva Common,Everett,Massachusetts,Middlesex County,25017,02148,42.41004835893376,-71.01505015585903,29000.85,4071.64,71898
cd48fb43-eb25-f814-b684-14421e58609b,1991-05-29,,999-27-8734,S99922294,X40103438X,Mrs.,Carlota980,Claudia969,Mares644,,Orta736,M,white,hispanic,F,Havana  Havana  CU,1054 Kuhic Brook,Chicopee,Massachusetts,Hampden County,25013,01013,42.15334781690192,-72.55261214428009,646485.71,107007.18,81775
53c91f8d-0d86-0071-02ad-1d89a08f526f,1974-07-13,,999-42-7882,S99936116,X46989791X,Ms.,Candelaria844,Sybil495,Considine820,MD,,S,white,nonhispanic,F,Everett  Massachusetts  US,671 Watsica Walk Suite 30,Gloucester,Massachusetts,Essex County,25009,01930,42.610299573651716,-70.65670041220454,466162.48,466068.88,70901
adc28d95-3c67-fe6d-42a5-a1b141492a02,1988-06-26,,999-62-4763,S99996880,X11500293X,Mrs.,Josephina269,Lacy523,Collier206,,Marks830,M,black,hispanic,F,Boston  Massachusetts  US,922 Weimann Grove Apt 94,Belmont,Massachusetts,Middlesex County,25017,02138,42.41508816367842,-71.1889546962636,207259.03,267695.42,52961
e64e98d1-b4a1-6444-7db5-5fd233404d72,1984-05-21,,999-87-9878,S99999672,X81932488X,Mr.,Shon148,Virgilio529,Tillman293,,,M,white,nonhispanic,M,Lexington  Massachusetts  US,531 Ledner Club Apt 10,Medford,Massachusetts,Middlesex County,25017,02155,42.37997542349182,-71.12179958797876,85462.58,10648.30,128551
2937862e-c760-55fa-48d6-391814e610c3,2018-06-17,,999-17-8912,,,,Carmella421,Yoko498,Effertz744,,,,white,nonhispanic,F,Gloucester  Massachusetts  US,362 Runolfsdottir Course,Boston,Massachusetts,Suffolk County,25017,02467,42.38392011396657,-71.04828150113126,22779.14,3160.39,54988
a3dee9d5-22ed-2c8a-2702-eb811b1c259e,1976-04-26,,999-19-9457,S99957124,X1957408X,Mr.,Zachariah133,Eldon28,Fay398,,,S,white,nonhispanic,M,Taunton  Massachusetts  US,134 Walter Mission,Groton,Massachusetts,Middlesex County,25017,01450,42.648671813596195,-71.53956861816833,101970.24,3176.24,682091
af263c6a-8a5f-e44d-bf3f-8f05f60fa8e0,1985-08-03,2022-10-24,999-85-2750,S99940468,X30842363X,Ms.,Twila243,Keisha459,Pfeffer420,,,S,white,nonhispanic,F,Chelsea  Massachusetts  US,1005 Mitchell Port Unit 35,Cohasset,Massachusetts,Norfolk County,,00000,42.22942084715518,-70.84698045119087,246470.31,890135.01,213223
2c9e4286-8064-e3a2-fc73-22627cedb3ec,1978-10-05,,999-63-8560,S99939574,X5638909X,Mr.,Sebastian508,Williams176,Borer986,,,D,white,nonhispanic,M,Springfield  Massachusetts  US,577 Schneider Glen,Leominster,Massachusetts,Worcester County,25027,01420,42.515364287973604,-71.81084893707933,79464.50,542.25,51034
647a4d06-98d9-6eca-9a82-3570e1d9e5b1,1976-11-03,,999-53-6023,S99992560,X31776289X,Mr.,Sang383,Zane918,Grimes165,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,1014 O'Kon Haven,Fitchburg,Massachusetts,Worcester County,25027,01420,42.59502612078988,-71.79309469098565,174114.64,0.00,49750
7366f83c-95c5-b8ed-36da-f4c578913595,2014-05-10,,999-77-4405,,,,Coleen678,,Smith67,,,,hawaiian,nonhispanic,F,Blackstone  Massachusetts  US,211 Schowalter Promenade Apt 8,Palmer,Massachusetts,Hampden County,25013,01095,42.15555669666371,-72.35608955807872,13698.38,10523.62,990610
8ea3ce2c-db30-84bf-25a3-807cd738474c,1989-01-22,,999-46-7846,S99983019,X132934X,Mr.,Francisco472,Mateo562,González124,,,D,white,hispanic,M,Salisbury  Saint Joseph Parish  DM,1077 Stroman Bridge Unit 72,Newbury,Massachusetts,Essex County,,00000,42.78316310837239,-70.85148697172454,73351.42,2019.50,64674
c92a4b62-7923-16c9-94f0-12fc56102015,1960-02-22,,999-31-4758,S99989460,X39009072X,Mr.,Marty115,Quincy153,McDermott739,,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,531 Kerluke Union Unit 10,Boston,Massachusetts,Suffolk County,25025,02136,42.391922943060045,-71.1059973618623,10333.24,212023.46,13100
6d425393-671b-5c5c-629e-f86d6989dc4d,1953-03-02,1989-06-12,999-49-2296,S99997096,X33340761X,Mr.,Kelley882,Leslie90,Goldner995,,,M,black,hispanic,M,East Longmeadow  Massachusetts  US,213 Gerlach Harbor Apt 53,Boston,Massachusetts,Suffolk County,25025,02109,42.284498181014,-71.06492844264936,119471.92,16311.73,139045
102adc2d-f275-2551-0946-c81fd5a4d711,2013-12-30,,999-96-7384,,,,Josh874,Dean966,Murray856,,,,white,nonhispanic,M,Arlington  Massachusetts  US,972 Gulgowski Village,Sterling,Massachusetts,Worcester County,,00000,42.45950663238049,-71.78509365586609,31653.89,0.00,147503
0050bc6d-3a1a-ee68-005a-2b6e668a1c96,1918-03-06,1999-10-19,999-30-9130,S99923064,X61275301X,Mr.,Mitchell808,Bernard308,McKenzie376,,,W,white,nonhispanic,M,Brockton  Massachusetts  US,109 Rowe Park,Smith Mills,Massachusetts,Bristol County,,00000,41.62515831527434,-71.00422392208857,17405.77,346580.55,10825
e3ac0cf0-1573-a9b1-b9ec-52ba8fae8c63,1985-08-03,,999-75-9894,S99917602,X49873380X,Mrs.,Arminda86,Julian715,Rogahn59,,Marquardt819,M,white,nonhispanic,F,Springfield  Massachusetts  US,874 Kuphal Light,Cohasset,Massachusetts,Norfolk County,,00000,42.303465715370095,-70.7810227762488,168188.40,864787.42,213223
36449857-2735-5ab1-0ff7-347042b3b622,1980-09-04,,999-74-7170,S99965393,X21022362X,Mrs.,Jannet618,Bethann490,Botsford977,,Sauer652,M,white,nonhispanic,F,Ipswich  Massachusetts  US,855 Schmidt Club,East Longmeadow,Massachusetts,Hampden County,,00000,42.08732719188933,-72.50928860280045,43038.72,1652697.28,20952
8b4bc496-e13b-1d52-1a2d-42429076fc25,1954-12-29,,999-67-5873,S99989208,X88568819X,Mrs.,Mazie442,Sanora914,Carter549,,Strosin214,M,white,nonhispanic,F,Newton  Massachusetts  US,141 Grady Grove Apt 2,Lenox,Massachusetts,Berkshire County,25003,01240,42.394350611967646,-73.30536571217667,290010.09,487082.25,30435
ef10aea7-8050-6d0f-2822-79c9a850caa9,1953-03-02,,999-10-6070,S99999421,X33155838X,Mr.,Luis923,,Fahey393,,,M,black,hispanic,M,New Bedford  Massachusetts  US,1037 Purdy Heights,Boston,Massachusetts,Suffolk County,25025,02118,42.313624325133596,-71.06769805733693,172980.33,65072.02,139045
99e87381-8c9b-2982-81ab-be54c07a700b,2017-07-14,,999-20-2071,,,,Hal307,Erich201,Lehner980,,,,white,nonhispanic,M,Taunton  Massachusetts  US,188 Mraz Burg,Marion,Massachusetts,Plymouth County,,00000,41.725493514715794,-70.72351355581343,20416.27,15208.18,96949
404065ce-845e-96bf-74a3-4a63ac1b7fa5,1954-10-22,2012-07-30,999-37-2964,S99932776,X49453784X,Mr.,Terrence276,Minh326,Will178,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,481 Barton Frontage road Suite 17,Barnstable,Massachusetts,Barnstable County,25001,02635,41.59139218624105,-70.34643976372996,9378.80,171421.23,23016
e895e790-e93b-b10b-3cf9-885af01f9f6d,1918-03-06,1975-01-06,999-97-1953,S99946197,X45525210X,Mr.,Pete38,Ezra452,Legros616,,,M,white,nonhispanic,M,West Wareham  Massachusetts  US,527 Carroll Grove Apt 89,Smith Mills,Massachusetts,Bristol County,,00000,41.653599766438404,-70.99240505892644,10320.69,251513.12,10825
2b9fc2cf-2961-f2ef-54ec-f0163b5c78fd,1953-10-20,,999-74-9064,S99973295,X82691896X,Mrs.,Georgie506,Rebekah348,Schaden604,,Larson43,M,white,nonhispanic,F,Westborough  Massachusetts  US,897 Beier Viaduct Apt 28,Swansea,Massachusetts,Bristol County,,00000,41.796801018351374,-71.26334891995509,43084.83,1950673.51,17054
2cf5907d-a86d-9dc0-4d0f-12efddf45300,1999-02-20,,999-17-1698,S99917071,X51020001X,Ms.,Lonna614,Zenaida56,Paucek755,,,,white,nonhispanic,F,Easton  Massachusetts  US,717 Prohaska Run,Malden,Massachusetts,Middlesex County,25017,02155,42.44428668947262,-71.07751603499835,121083.42,370662.42,66461
c401414f-f8b6-963b-d080-9bab99edbf48,1983-12-12,,999-13-1949,S99977920,X7734383X,Mrs.,Ilene33,,Ferry570,,Windler79,M,white,nonhispanic,F,Boston  Massachusetts  US,1082 Hirthe Club,Milton,Massachusetts,Norfolk County,25021,02186,42.24739735739344,-71.07753309300163,162054.47,455355.58,176446
e670a3ba-243f-94dc-c7e3-8e14748e2843,1961-08-13,,999-10-7748,S99953343,X17529573X,Mr.,Jack927,Kennith515,Metz686,,,W,white,nonhispanic,M,Boston  Massachusetts  US,609 Donnelly Viaduct Apt 57,Northwest Harwich,Massachusetts,Barnstable County,,00000,41.653119673603605,-70.11291973886367,11786.69,409266.19,15655
b2bec6cc-0f15-eaf2-cc43-77ae7d2c9f97,1991-01-16,,999-63-3454,S99948674,X64674248X,Mr.,Will178,Rolf983,Powlowski563,,,M,white,nonhispanic,M,Plymouth  Massachusetts  US,420 Weimann Highlands Unit 2,Fall River,Massachusetts,Bristol County,25005,02724,41.687600455406894,-71.15322908927993,5785.55,60649.01,20102
2e60d392-14b7-23ed-aec7-342ada8f09eb,2001-07-28,,999-88-5123,S99943884,X21157175X,Ms.,Jannet618,Dion244,Bashirian201,,,,white,nonhispanic,F,Brockton  Massachusetts  US,1064 Conn Drive Apt 15,Needham,Massachusetts,Norfolk County,25021,02494,42.24606526659854,-71.28156489292257,35062.90,32425.68,509582
cf0a34e1-2d39-9cdd-ecb2-a637f788ffee,1975-04-06,,999-34-4696,S99979057,X17866828X,Mrs.,Dayle885,Dalia295,Baumbach677,,Thiel172,M,white,nonhispanic,F,Palmer  Massachusetts  US,831 Gutkowski Meadow Apt 1,Chelsea,Massachusetts,Suffolk County,25025,02151,42.414200648174834,-70.98981982549752,27475.00,1178143.82,14517
faf1cfc1-efed-9989-60a7-ab3c406bfcf5,1918-03-06,2000-09-30,999-82-7699,S99967986,X49128596X,Mr.,Jed345,Ruben688,Erdman779,,,D,white,nonhispanic,M,Holyoke  Massachusetts  US,807 Gerlach Neck Apt 1,Smith Mills,Massachusetts,Bristol County,,00000,41.60020873818825,-70.95135044133691,14527.96,467671.84,10825
5172277c-e3da-9d0a-4971-ae82756e0c1c,1967-07-27,,999-41-4436,S99938495,X55744605X,Mrs.,Abigail677,Queenie922,Hamill307,,Greenholt190,M,black,nonhispanic,F,Dartmouth  Massachusetts  US,898 Hauck Landing,Brockton,Massachusetts,Plymouth County,25023,02351,42.096986332815305,-71.06801714975342,719451.64,462437.46,72081
fad0d8cc-8bdb-6642-a286-584c646843f0,1968-08-20,,999-41-5673,S99935353,X62386080X,Mr.,Brad867,Tad831,Nitzsche158,,,S,white,nonhispanic,M,Sutton  Massachusetts  US,462 Emard Harbor,Reading,Massachusetts,Middlesex County,25017,01867,42.51840469249651,-71.08951688970026,124109.33,390928.06,80397
9fb33e31-47b5-8f51-340c-6e25909daea0,1997-09-20,,999-67-6251,S99967406,X53917391X,Mr.,Prince887,Howard613,Conroy74,,,M,white,nonhispanic,M,Groveland  Massachusetts  US,1098 Schmeler Trafficway,Haverhill,Massachusetts,Essex County,25009,01830,42.84337454826449,-71.0183008261367,107182.76,106264.99,106376
1de0477b-3748-1ff2-cb20-a5127885b00f,1987-02-17,,999-59-2987,S99982317,X41292656X,Mrs.,Jo405,Melia148,Bechtelar572,,Berge125,M,white,nonhispanic,F,Brockton  Massachusetts  US,204 Ullrich Gate Apt 11,Quincy,Massachusetts,Norfolk County,25021,02171,42.254959315319915,-70.99823717037823,160062.67,411026.65,74445
e813e7e2-08eb-d1a7-5a14-99adb4f5c2c8,2009-07-23,,999-79-8819,S99923957,,,Fairy757,Lindy582,Rolfson709,,,,white,nonhispanic,F,Fall River  Massachusetts  US,791 Corwin Park Apt 22,Brookline,Massachusetts,Norfolk County,25021,02445,42.3569604046633,-71.12730357300899,61587.77,0.00,107315
77e894bb-58ff-18f9-546e-16dc647782ee,1990-09-02,,999-45-3594,S99998910,X28957646X,Mrs.,Sam879,Tera136,Orn563,,Goodwin327,M,white,nonhispanic,F,Wilmington  Massachusetts  US,850 Okuneva Hollow Unit 8,Northampton,Massachusetts,Hampshire County,25015,01062,42.3587757951304,-72.58922553166236,226742.02,512105.28,87104
ecfcb077-5807-095a-c5e5-6cd4eccf6b70,1966-11-11,,999-28-6103,S99979911,X5627496X,Mr.,Alexis664,Alden634,Beier427,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,239 Brakus Station,Plymouth,Massachusetts,Plymouth County,25023,02360,41.93119095402109,-70.63165168808803,16005.60,985984.05,19226
bf11e986-dcdf-6f9e-45de-986885342afd,1993-04-29,,999-56-8626,S99939274,X79181394X,Mr.,Santo387,,Wyman904,,,M,white,nonhispanic,M,Ocean Bluff-Brant Rock  Massachusetts  US,829 Kuhn Esplanade,Fitchburg,Massachusetts,Worcester County,25027,01420,42.5911913509467,-71.79321544973763,69274.47,7051.61,42430
6bf3225f-a1d7-5a55-5d0b-d79affdfd97f,1998-02-20,,999-53-9023,S99989404,X81712437X,Mr.,Claudio955,Germán350,Arellano2,,,M,white,hispanic,M,Caguas  Puerto Rico  PR,193 Glover Pathway,Haverhill,Massachusetts,Essex County,25009,01832,42.76087869083343,-71.1255757250516,74101.14,19793.04,95967
0bdf94c6-3ce8-9cea-5f76-f93abafdc5d3,2011-01-19,,999-54-4852,,,,Joaquin141,Hans694,Koelpin146,,,,black,nonhispanic,M,Woburn  Massachusetts  US,590 Medhurst Hollow Apt 51,Boston,Massachusetts,Suffolk County,25025,02129,42.270137460615956,-71.09756690054262,17327.75,26724.80,85836
ce310711-1f2d-e1cb-83fd-7f438843725c,2005-11-24,,999-44-2769,S99990934,X51209689X,Mr.,Miguel815,Oswaldo857,Treutel973,,,,white,nonhispanic,M,Arlington  Massachusetts  US,550 Dach Approach Unit 75,Brockton,Massachusetts,Plymouth County,25023,02351,42.077720863073466,-71.04505229347963,3287.59,49128.86,11438
c7d25a0b-3e9c-a822-6a9e-889540da2849,1954-10-22,,999-51-8020,S99935679,X17990024X,Mr.,Wilson960,,Conroy74,,,W,white,nonhispanic,M,Blackstone  Massachusetts  US,254 Harvey Trail Apt 25,Barnstable,Massachusetts,Barnstable County,25001,02655,41.73881073713545,-70.20399711043504,18027.13,288209.18,23016
d77d13ee-d779-c3a2-fb7a-147c969f1b6f,1968-09-22,,999-99-7847,S99985352,X55730024X,Mrs.,Blythe746,Charlene806,Effertz744,,Kuhic920,D,white,nonhispanic,F,Salem  Massachusetts  US,407 Bednar Station,Beverly,Massachusetts,Essex County,25009,01915,42.61013325416692,-70.83381459001032,1184084.20,679048.20,103009
600432f1-bbdf-acd9-6a92-f8209d104cc6,1974-12-04,,999-51-6736,S99910862,X33286638X,Mrs.,Ebonie344,Lorri590,Hermiston71,,Gleason633,D,white,hispanic,F,Boston  Massachusetts  US,176 Hackett Terrace Apt 85,Chelmsford,Massachusetts,Middlesex County,,00000,42.62698917769653,-71.40538617694416,247098.60,721583.52,301179
3772815d-6de4-5607-39e4-31759356a512,2006-04-27,,999-45-9661,S99994011,,Ms.,Tien590,,Stamm704,,,,white,nonhispanic,F,Seekonk  Massachusetts  US,644 Schimmel Fork,Quincy,Massachusetts,Norfolk County,25021,02170,42.27957320740116,-70.98658711793779,3462.81,145524.69,9668
1003c91a-acfb-9dc5-ce36-1921bb174199,1918-03-06,1982-01-13,999-43-5975,S99952349,X11461887X,Mr.,Jacques50,Francesco636,Vandervort697,,,M,white,nonhispanic,M,Beverly  Massachusetts  US,653 Johnston Extension Suite 63,Smith Mills,Massachusetts,Bristol County,,00000,41.67843327288692,-70.98258929414433,23668.02,301017.30,10825
16ab29bf-a8d8-175b-af64-dfe604cbc1d0,2012-05-16,,999-13-4994,,,,Alberto639,Kieth891,Kub800,,,,asian,nonhispanic,M,Franklin  Massachusetts  US,508 Terry Avenue,Worcester,Massachusetts,Worcester County,25027,01583,42.23018317045044,-71.83745345811873,40296.63,0.00,80936
a09f1310-0808-7dd4-89d6-9b433465f2a2,1956-04-16,,999-15-4684,S99992466,X85580150X,Mr.,Allan198,Myles862,Russel238,,,M,white,nonhispanic,M,Revere  Massachusetts  US,1004 Blick Overpass Unit 65,Hanson,Massachusetts,Plymouth County,25023,02341,42.081281264640005,-70.81994080103928,167332.52,67161.69,128903
a789ae3b-b22d-6105-5331-8aadb273f7b2,1976-10-08,1992-05-31,999-85-4576,,,,Jan231,Rodger755,Reynolds644,,,,white,nonhispanic,M,Bourne  Massachusetts  US,369 Rempel Mission,Petersham,Massachusetts,Worcester County,25027,01366,42.47293746755688,-72.14755811254183,27583.02,0.00,61131
d7437b7b-da1f-effa-9097-5896b23b153a,1973-03-30,,999-21-7207,S99976391,X39767711X,Mrs.,Thomasine260,Elma843,Wuckert783,,Bahringer146,M,white,nonhispanic,F,Marshfield  Massachusetts  US,198 Erdman Well Unit 12,Concord,Massachusetts,Middlesex County,,00000,42.47099350825277,-71.32868678261674,16095.51,1077927.64,11067
cedbe0f1-9f0b-f407-9b4f-1118e2471d43,2001-05-16,,999-11-8428,S99962734,X8464504X,Mr.,Samual455,Everett935,Metz686,,,,asian,nonhispanic,M,Westminster  Massachusetts  US,194 Altenwerth Viaduct Suite 81,Lawrence,Massachusetts,Essex County,25009,01843,42.703534247179896,-71.1468588649902,24431.54,9712.46,42074
ae0ac862-9ce9-c509-231b-25e5fc04f77f,1964-03-11,,999-60-7983,S99928273,X37484565X,Mrs.,Roseanne877,,Hauck852,,Stiedemann542,W,asian,nonhispanic,F,Tyngsborough  Massachusetts  US,369 Champlin Path,Templeton,Massachusetts,Worcester County,,00000,42.583749682989385,-72.08408631304646,464053.30,143579.71,47721
f7fec8c6-3b77-4003-c628-1568dc596bf7,1976-10-08,,999-80-9225,S99950943,X65617887X,Mr.,Lowell343,,Hegmann834,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,1052 Heller Neck,Petersham,Massachusetts,Worcester County,25027,01366,42.50860322916835,-72.23057372348596,104301.18,0.00,61131
0a84c57c-fbea-7047-f2a1-cc7634f70357,1918-03-06,1992-10-31,999-93-2753,S99958232,X56059940X,Mr.,Sheldon401,,Beer512,,,S,white,nonhispanic,M,Walpole  Massachusetts  US,282 Ernser Haven,Smith Mills,Massachusetts,Bristol County,,00000,41.62178741213459,-70.95265600624035,13700.75,271181.38,10825
4cebb84b-7a0f-9683-187e-2adde352a93c,2005-05-18,,999-66-2849,S99978834,X13756972X,Ms.,Lolita963,Marlene554,Sawayn19,,,,white,nonhispanic,F,Westminster  Massachusetts  US,800 Rau Landing Unit 31,Billerica,Massachusetts,Middlesex County,,00000,42.53669317811672,-71.28774731398944,71584.39,88645.01,105201
863db4b1-b477-596f-dad1-87d3fd08b553,1998-09-02,,999-67-9665,S99955141,X18327031X,Mr.,Dalton260,Alvin56,Hoeger474,,,,white,nonhispanic,M,Sao Paulo  Sao Paulo  BR,977 Lockman Track,Ayer,Massachusetts,Middlesex County,25027,01434,42.524425448088486,-71.53124024602565,62652.03,4386.37,58132
80743b56-0f6f-b40c-ca86-73fa84f0942c,1938-02-25,,999-73-6437,S99999443,X51859593X,Mr.,Efren426,Antony83,Ryan260,,,D,white,hispanic,M,Hanover  Massachusetts  US,285 Kiehn Heights,Oxford,Massachusetts,Worcester County,25027,01540,42.1055070871407,-71.85804509999603,13685.42,375585.58,12865
77096fdf-52d0-ef1a-e7cd-c2bb024d4319,1916-03-24,,999-35-8404,S99973727,X8356577X,Mr.,Conrad619,Jewell855,Denesik803,,,M,white,nonhispanic,M,Boston  Massachusetts  US,1037 Kuhn Center,Andover,Massachusetts,Essex County,25009,01810,42.64059320940728,-71.15170687350074,214057.95,310277.12,133896
37106182-2e5f-95ec-55ef-b794d787e64c,2009-02-17,,999-60-4256,S99936343,,,Lonny638,,West559,,,,white,nonhispanic,M,Pembroke  Massachusetts  US,798 Glover Promenade,West Springfield,Massachusetts,Hampden County,25013,01089,42.131279270869285,-72.6365895771276,3193.80,63701.90,5364
aebd6461-21cf-4d32-e699-c79d6d9f9fbb,2020-07-04,,999-24-7387,,,,Ellamae709,Caitlyn56,Stracke611,,,,white,hispanic,F,Boston  Massachusetts  US,940 Block Bypass,Boston,Massachusetts,Suffolk County,25025,02215,42.34156646905281,-71.04274202133324,8146.25,4278.34,69017
4b7677d4-7945-085e-7a82-e8411785f61a,1994-09-06,,999-47-4497,S99956357,X31288748X,Mr.,Luciano237,Deshawn686,Koepp521,,,M,asian,nonhispanic,M,Great Barrington  Massachusetts  US,1091 Stiedemann Mall,Boston,Massachusetts,Suffolk County,25025,02129,42.28408841993674,-71.02049315173642,48512.37,25265.69,116580
52f12946-9bee-200e-db1d-9075a6170e43,1990-12-23,,999-58-9725,S99966443,X52047734X,Mr.,Weldon459,Arlie183,Waters156,,,M,white,hispanic,M,Boston  Massachusetts  US,525 Jaskolski Tunnel Apt 9,Boston,Massachusetts,Suffolk County,25025,02134,42.3175538269014,-71.0478060581911,77897.26,925.02,67602
eae541f1-f75b-7062-ae66-d0be0790cb3a,2002-02-05,,999-73-7987,S99950905,X75904256X,Mr.,Salvador46,Reinaldo138,Prosacco716,,,,white,nonhispanic,M,North Reading  Massachusetts  US,919 Swift Wall Apt 47,Tisbury,Massachusetts,Dukes County,,00000,41.45240994834579,-70.56909586201188,69787.73,190625.26,45880
00b2c764-514c-6a17-b5eb-7f97515fe470,1972-01-26,,999-63-9588,S99928051,X26505644X,Mr.,Claudio955,Felipe97,Domínguez946,,,M,white,hispanic,M,Carolina  Puerto Rico  PR,429 Kassulke Mission Unit 96,Boston,Massachusetts,Suffolk County,25025,02215,42.316447159794905,-71.10718034067496,107039.10,37639.18,135070
764d36d9-c19c-20d0-4948-a1f24ace014a,1962-04-22,,999-18-7954,S99988701,X30130820X,Mrs.,Cherlyn665,Brooke250,Reinger292,,Schmidt332,M,white,nonhispanic,F,East Bridgewater  Massachusetts  US,1058 Murazik Wall Suite 92,Quincy,Massachusetts,Norfolk County,25021,02169,42.29680226807957,-71.0399965099857,834304.49,361580.93,48919
00c67332-4159-719e-88c5-8b6b10430c42,1987-09-05,,999-84-3016,S99940999,X13397387X,Mrs.,Jina946,Eleonora961,Schaden604,,Crist667,D,black,hispanic,F,Lawrence  Massachusetts  US,428 Ziemann Flat Apt 10,Waltham,Massachusetts,Middlesex County,25017,02452,42.41240204869654,-71.25112591059417,138137.83,42459.00,81520
131f00fd-2df6-526a-6828-aa14b278adcc,1976-04-29,,999-45-7216,S99965458,X37172230X,Mrs.,Verónica383,Olivia294,Cantú190,,Godoy454,D,white,hispanic,F,Marigot  Saint Andrew Parish  DM,634 Beier Tunnel,Springfield,Massachusetts,Hampden County,25013,01106,42.11593068148752,-72.59423193878878,10549.30,280506.05,10872
fe5cb1ad-99e5-9915-847b-69ef92d2fc85,1998-08-08,,999-47-7994,S99954845,X65473340X,Ms.,Ellie521,Wonda35,Reichel38,,,,white,nonhispanic,F,Boston  Massachusetts  US,177 Kihn Camp,Avon,Massachusetts,Norfolk County,,00000,42.140208683687966,-71.02165745235828,59890.26,0.00,122342
